char,minx,maxx,miny,maxy,text_id,page
t,118.16,120.94,626.7779999999999,636.7779999999999,5,0
e,120.94,126.5,626.7779999999999,636.7779999999999,5,0
x,126.5,131.5,626.7779999999999,636.7779999999999,5,0
t,131.5,134.28,626.7779999999999,636.7779999999999,5,0
.,134.28,137.06,626.7779999999999,636.7779999999999,5,0
 ,137.06,139.84,626.7779999999999,636.7779999999999,5,0
A,139.84,146.51,626.7779999999999,636.7779999999999,5,0
n,146.51,152.07,626.7779999999999,636.7779999999999,5,0
d,152.07,157.63,626.7779999999999,636.7779999999999,5,0
 ,157.63,160.41,626.7779999999999,636.7779999999999,5,0
m,160.41000000000003,168.74000000000004,626.7779999999999,636.7779999999999,5,0
o,168.74,174.3,626.7779999999999,636.7779999999999,5,0
r,174.3,177.63000000000002,626.7779999999999,636.7779999999999,5,0
e,177.63,183.19,626.7779999999999,636.7779999999999,5,0
 ,183.19,185.97,626.7779999999999,636.7779999999999,5,0
t,185.97000000000003,188.75000000000003,626.7779999999999,636.7779999999999,5,0
e,188.75,194.31,626.7779999999999,636.7779999999999,5,0
x,194.31,199.31,626.7779999999999,636.7779999999999,5,0
t,199.31,202.09,626.7779999999999,636.7779999999999,5,0
.,202.09,204.87,626.7779999999999,636.7779999999999,5,0
 ,204.87,207.65,626.7779999999999,636.7779999999999,5,0
A,207.65,214.32,626.7779999999999,636.7779999999999,5,0
n,214.32,219.88,626.7779999999999,636.7779999999999,5,0
d,219.88,225.44,626.7779999999999,636.7779999999999,5,0
 ,225.44,228.22,626.7779999999999,636.7779999999999,5,0
m,228.22,236.55,626.7779999999999,636.7779999999999,5,0
o,236.55,242.11,626.7779999999999,636.7779999999999,5,0
r,242.11,245.44000000000003,626.7779999999999,636.7779999999999,5,0
e,245.44000000000003,251.00000000000003,626.7779999999999,636.7779999999999,5,0
 ,251.00000000000003,253.78000000000003,626.7779999999999,636.7779999999999,5,0
t,253.78000000000003,256.56,626.7779999999999,636.7779999999999,5,0
e,256.56000000000006,262.12000000000006,626.7779999999999,636.7779999999999,5,0
x,262.12,267.12,626.7779999999999,636.7779999999999,5,0
t,267.12,269.9,626.7779999999999,636.7779999999999,5,0
.,269.90000000000003,272.68,626.7779999999999,636.7779999999999,5,0
 ,272.68000000000006,275.46000000000004,626.7779999999999,636.7779999999999,5,0
A,275.46000000000004,282.13000000000005,626.7779999999999,636.7779999999999,5,0
n,282.13,287.69,626.7779999999999,636.7779999999999,5,0
d,287.69000000000005,293.25000000000006,626.7779999999999,636.7779999999999,5,0
 ,293.25,296.03,626.7779999999999,636.7779999999999,5,0
m,296.03000000000003,304.36,626.7779999999999,636.7779999999999,5,0
o,304.36,309.92,626.7779999999999,636.7779999999999,5,0
r,309.9200000000001,313.25000000000006,626.7779999999999,636.7779999999999,5,0
e,313.25000000000006,318.81000000000006,626.7779999999999,636.7779999999999,5,0
 ,318.81000000000006,321.59000000000003,626.7779999999999,636.7779999999999,5,0
t,321.59000000000003,324.37,626.7779999999999,636.7779999999999,5,0
e,324.37000000000006,329.93000000000006,626.7779999999999,636.7779999999999,5,0
x,329.93000000000006,334.93000000000006,626.7779999999999,636.7779999999999,5,0
t,334.93000000000006,337.71000000000004,626.7779999999999,636.7779999999999,5,0
.,337.71000000000004,340.49,626.7779999999999,636.7779999999999,5,0
 ,340.49,343.27,626.7779999999999,636.7779999999999,5,0
A,343.27,349.94,626.7779999999999,636.7779999999999,5,0
n,349.94,355.5,626.7779999999999,636.7779999999999,5,0
d,355.5,361.06,626.7779999999999,636.7779999999999,5,0
 ,361.06,363.84,626.7779999999999,636.7779999999999,5,0
